year,month,origin,destination,number_of_flights
2019,1,EDDF,EDDH,352
2019,1,LGAV,EGLL,120
2019,1,LSGG,EGLL,359
2019,1,EGPF,EGKK,142
2019,1,EDDF,EDDS,132
2019,1,LFPG,EGBB,83
2019,1,LFLL,LEMD,84
2019,1,BIKF,LFPG,60
2019,1,LFBO,EGKK,55
2019,1,EDDL,LOWW,272
2019,1,LOWW,EDDF,317
2019,1,LIMC,EETN,10
2019,1,LTBA,EDDL,173
2019,1,EFHK,EGKK,48
2019,1,EDDM,LTBA,42
2019,1,EDDB,LSGG,48
2019,1,UUEE,LGAV,44
2019,1,LKPR,EGSS,83
2019,1,LTBA,EDDS,109
2019,1,LFPG,LFML,183
2019,1,EKCH,EDDB,90
2019,1,LIMC,LIBR,19
2019,1,UUEE,LHBP,55
2019,1,LTBA,LIMC,114
2019,1,EFHK,EGLL,157
2019,1,EGKK,LIPX,23
2019,1,LOWW,LBSF,101
2019,1,LFLL,LFBO,158
2019,1,EDDB,LIRN,1
2019,1,LOWW,EKCH,120
2019,1,LFBD,LFML,120
2019,1,LFPG,EDDH,134
2019,1,LTBA,EDDN,61
2019,1,EDDM,LFPG,281
2019,1,EDDB,EKCH,94
2019,1,EGGW,LSZH,39
2019,1,LSZH,LOWW,259
2019,1,EFHK,EGCC,35
2019,1,EHAM,EGGW,202
2019,1,LSZH,LIRF,144
2019,1,UUWW,LKPR,15
2019,1,LSZH,EDDH,284
2019,1,LSZH,LFBD,50
2019,1,LOWW,LEMD,126
2019,1,LKPR,LFPG,160
2019,1,LTBA,EFHK,67
2019,1,EGPH,LEAL,28
2019,1,UUDD,ULLI,124
2019,1,EDDL,EGLL,208
2019,1,EGKK,EDDM,50
2019,1,LSZH,EHAM,180
2019,1,LOWW,EDDS,156
2019,1,LSZH,LEBL,46
2019,1,EGKK,LEAL,90
2019,1,LFPG,EKCH,179
2019,1,LFBO,LFPO,699
2019,1,LFPO,LIPZ,66
2019,1,LSZH,EDDL,337
2019,1,LIPZ,EDDF,130
2019,1,LSZH,EKCH,146
2019,1,EGAA,EGSS,201
2019,1,EGGW,LIBD,8
2019,1,LIPX,UUDD,47
2019,1,ESGG,EGKK,44
2019,1,LIPE,LFPG,92
2019,1,EHAM,EGLL,370
2019,1,LEMD,BIKF,14
2019,1,EBBR,EGCC,75
2019,1,LEMD,EDDF,305
2019,1,LFPG,EDDM,277
2019,1,EDDL,EDDV,11
2019,1,LIMC,LIBD,50
2019,1,LTBA,EDDV,60
2019,1,LFPG,LOWW,218
2019,1,LSGG,LFPG,263
2019,1,LTBA,EDDH,92
2019,1,ENGM,EGKK,84
2019,1,UUDD,LSZH,45
2019,1,EGCC,LEAL,98
2019,1,LSGG,LEAL,16
2019,1,EGLL,EGPH,188
2019,1,UUEE,EETN,88
2019,1,LFPO,LFBD,170
2019,1,LSGG,EDDF,125
